Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
238.2,2024-12-18,Wednesday,09:19:00,340.4,20,PE,80300.0,Sell,2024-12-18,Wednesday,09:24:00,340.4,-0.0,-0.0,2024-12-20,,,Stop Loss Hit
239,2024-12-19,,09:19:00,79246.64,,,,,2024-12-19,,15:15:00,79207.99,-35.0,,,2670.0,-577.0,Exit Condition Met For Trade
239.1,2024-12-19,Thursday,09:19:00,363.85,20,CE,79500.0,Sell,2024-12-19,Thursday,09:45:00,454.8,-1818.9999999999998,-24.996564518345465,2024-12-20,,,Stop Loss Hit
239.2,2024-12-19,Thursday,09:19:00,352.8,20,PE,79000.0,Sell,2024-12-19,Thursday,15:15:00,263.6,1783.9999999999998,25.283446712018133,2024-12-20,,,Exit Condition Met For Trade
240,2024-12-20,,09:19:00,79064.08,,,,,2024-12-20,,09:22:00,79114.49,-2520.0,,,0,-2520.0,
240.1,2024-12-20,Friday,09:19:00,339.4,20,CE,78900.0,Sell,2024-12-20,Friday,09:21:00,424.25,-1697.0000000000005,-25.000000000000007,2024-12-20,,,Stop Loss Hit
240.2,2024-12-20,Friday,09:19:00,331.95,20,PE,79100.0,Sell,2024-12-20,Friday,09:22:00,373.1,-823.0000000000007,-12.396445247778292,2024-12-20,,,Stop Loss Hit
241,2024-12-23,,09:19:00,78585.84,,,,,2024-12-23,,15:15:00,78555.33,6193.0,,,6193.0,-118.0,Exit Condition Met For Trade
241.1,2024-12-23,Monday,09:19:00,367.35,20,CE,79400.0,Sell,2024-12-23,Monday,15:15:00,200.3,3341.0,45.47434326936164,2024-12-27,,,Exit Condition Met For Trade
241.2,2024-12-23,Monday,09:19:00,350.15,20,PE,78000.0,Sell,2024-12-23,Monday,15:15:00,207.55,2851.999999999999,40.72540339854347,2024-12-27,,,Exit Condition Met For Trade
242,2024-12-24,,09:19:00,78580.84,,,,,2024-12-24,,09:46:00,78531.19,-1812.0,,,0,-1812.0,
242.1,2024-12-24,Tuesday,09:19:00,332.85,20,CE,78800.0,Sell,2024-12-24,Tuesday,09:46:00,332.85,-0.0,-0.0,2024-12-27,,,Stop Loss Hit
242.2,2024-12-24,Tuesday,09:19:00,362.4,20,PE,78600.0,Sell,2024-12-24,Tuesday,09:33:00,453.0,-1812.0000000000005,-25.000000000000007,2024-12-27,,,Stop Loss Hit
243,2024-12-26,,09:19:00,78808.95,,,,,2024-12-26,,15:15:00,78496.48,1673.0,,,2553.0,-189.0,Exit Condition Met For Trade
243.1,2024-12-26,Thursday,09:19:00,356.2,20,CE,78900.0,Sell,2024-12-26,Thursday,15:15:00,181.4,3495.9999999999995,49.073554183043235,2024-12-27,,,Exit Condition Met For Trade
243.2,2024-12-26,Thursday,09:19:00,364.6,20,PE,78900.0,Sell,2024-12-26,Thursday,10:02:00,455.75,-1822.9999999999995,-24.999999999999993,2024-12-27,,,Stop Loss Hit
244,2024-12-27,,09:19:00,78748.95,,,,,2024-12-27,,15:15:00,78679.26,2789.0,,,4123.0,-610.0,Exit Condition Met For Trade
244.1,2024-12-27,Friday,09:19:00,350.9,20,CE,78600.0,Sell,2024-12-27,Friday,10:12:00,438.6,-1754.000000000001,-24.99287546309491,2024-12-27,,,Stop Loss Hit
244.2,2024-12-27,Friday,09:19:00,327.15,20,PE,78800.0,Sell,2024-12-27,Friday,15:15:00,100.0,4543.0,69.43298181262418,2024-12-27,,,Exit Condition Met For Trade
245,2024-12-30,,09:19:00,78613.26,,,,,2024-12-30,,12:31:00,78630.07,-1808.0,,,1484.0,-1808.0,
245.1,2024-12-30,Monday,09:19:00,361.7,20,CE,79000.0,Sell,2024-12-30,Monday,10:49:00,452.1,-1808.0000000000007,-24.99308819463645,2025-01-03,,,Stop Loss Hit
245.2,2024-12-30,Monday,09:19:00,364.55,20,PE,78300.0,Sell,2024-12-30,Monday,12:31:00,364.55,-0.0,-0.0,2025-01-03,,,Stop Loss Hit
246,2024-12-31,,09:19:00,77899.08,,,,,2024-12-31,,10:23:00,77794.06,-1707.0,,,0,-1707.0,
